Date,RestaurantID,Footfall,Revenue,Month
2022-03-04,1347,31,136.71,1
2022-03-04,1348,24,101.52,1
2022-03-04,1349,16,76.32,1
2022-03-04,1801,179,986.29,1
2022-03-04,1802,70,355.6,1
2022-03-04,1803,46,200.1,1
2022-03-04,1804,40,236.8,1
2022-03-04,1805,132,737.88,1
2022-03-05,445,17,87.55,1
2022-03-05,446,44,183.48,1
2022-03-05,447,70,410.9,1
2022-03-05,448,94,382.58,1
2022-03-05,449,82,419.02,1
2022-03-05,895,159,705.96,1
2022-03-05,896,26,152.36,1
2022-03-05,897,95,547.2,1
2022-03-05,898,13,54.86,1
2022-03-05,899,57,322.05,1
2022-03-05,1345,73,343.1,1
2022-03-05,1346,7,40.95,1
2022-03-05,1347,5,22.05,1
2022-03-05,1348,30,126.9,1
2022-03-05,1349,6,28.62,1
2022-03-05,1801,88,484.88,1
2022-03-05,1802,41,208.28,1
2022-03-05,1803,38,165.3,1
2022-03-05,1804,65,384.8,1
2022-03-05,1805,98,547.82,1
2022-03-06,445,13,66.95,1
2022-03-06,446,37,154.29,1
2022-03-06,447,58,340.46,1
2022-03-06,448,80,325.6,1
2022-03-06,449,97,495.67,1
2022-03-06,895,125,555,1
2022-03-06,896,24,140.64,1
2022-03-06,897,98,564.48,1
2022-03-06,898,11,46.42,1
2022-03-06,899,70,395.5,1
2022-03-06,1345,76,357.2,1
2022-03-06,1346,5,29.25,1
2022-03-06,1347,9,39.69,1
2022-03-06,1348,32,135.36,1
2022-03-06,1349,11,52.47,1
2022-03-06,1801,76,418.76,1
2022-03-06,1802,31,157.48,1
2022-03-06,1803,31,134.85,1
2022-03-06,1804,60,355.2,1
2022-03-06,1805,86,480.74,1
2022-03-07,445,16,82.4,1
2022-03-07,446,51,212.67,1
2022-03-07,447,61,358.07,1
2022-03-07,448,90,366.3,1
2022-03-07,449,81,413.91,1
2022-03-07,895,81,359.64,1
2022-03-07,896,44,257.84,1
2022-03-07,897,36,207.36,1
2022-03-07,898,33,139.26,1
2022-03-07,899,78,440.7,1
2022-03-07,1345,36,169.2,1
2022-03-07,1346,12,70.2,1
2022-03-07,1347,27,119.07,1
2022-03-07,1348,13,54.99,1
2022-03-07,1349,13,62.01,1
2022-03-07,1801,125,688.75,1
2022-03-07,1802,36,182.88,1
2022-03-07,1803,18,78.3,1
2022-03-07,1804,19,112.48,1
2022-03-07,1805,87,486.33,1
2022-03-08,445,14,72.1,1
2022-03-08,446,36,150.12,1
2022-03-08,447,62,363.94,1
2022-03-08,448,88,358.16,1
2022-03-08,449,79,403.69,1
2022-03-08,895,85,377.4,1
2022-03-08,896,44,257.84,1
2022-03-08,897,49,282.24,1
2022-03-08,898,33,139.26,1
2022-03-08,899,78,440.7,1
2022-03-08,1345,39,183.3,1
2022-03-08,1346,15,87.75,1
2022-03-08,1347,25,110.25,1
2022-03-08,1348,17,71.91,1
2022-03-08,1349,13,62.01,1
2022-03-08,1801,129,710.79,1
2022-03-08,1802,42,213.36,1
2022-03-08,1803,22,95.7,1
2022-03-08,1804,14,82.88,1
2022-03-08,1805,78,436.02,1
2022-03-09,445,20,103,1
2022-03-09,446,50,208.5,1
2022-03-09,447,64,375.68,1
2022-03-09,448,100,407,1
2022-03-09,449,81,413.91,1
2022-03-09,895,85,377.4,1
2022-03-09,896,51,298.86,1
2022-03-09,897,42,241.92,1
2022-03-09,898,33,139.26,1
2022-03-09,899,78,440.7,1
2022-03-09,1345,29,136.3,1
2022-03-09,1346,15,87.75,1
2022-03-09,1347,25,110.25,1
2022-03-09,1348,19,80.37,1
2022-03-09,1349,12,57.24,1
2022-03-09,1801,119,655.69,1
2022-03-09,1802,39,198.12,1
2022-03-09,1803,30,130.5,1
2022-03-09,1804,15,88.8,1
2022-03-09,1805,82,458.38,1
2022-03-10,445,16,82.4,1
2022-03-10,446,52,216.84,1
2022-03-10,447,67,393.29,1
2022-03-10,448,94,382.58,1
2022-03-10,449,87,444.57,1
2022-03-10,895,83,368.52,1
2022-03-10,896,43,251.98,1
2022-03-10,897,37,213.12,1
2022-03-10,898,32,135.04,1
2022-03-10,899,74,418.1,1
2022-03-10,1345,38,178.6,1
2022-03-10,1346,13,76.05,1
2022-03-10,1347,24,105.84,1
2022-03-10,1348,11,46.53,1
2022-03-10,1349,13,62.01,1
2022-03-10,1801,129,710.79,1
2022-03-10,1802,44,223.52,1
2022-03-10,1803,28,121.8,1
2022-03-10,1804,12,71.04,1
2022-03-10,1805,80,447.2,1
2022-03-11,445,18,92.7,1
2022-03-11,446,43,179.31,1
2022-03-11,447,68,399.16,1
2022-03-11,448,88,358.16,1
2022-03-11,449,78,398.58,1
2022-03-11,895,78,346.32,1
2022-03-11,896,50,293,1
2022-03-11,897,39,224.64,1
2022-03-11,898,35,147.7,1
2022-03-11,899,85,480.25,1
2022-03-11,1345,30,141,1
2022-03-11,1346,12,70.2,1
2022-03-11,1347,25,110.25,1
2022-03-11,1348,16,67.68,1
2022-03-11,1349,12,57.24,1
2022-03-11,1801,117,644.67,1
2022-03-11,1802,40,203.2,1
2022-03-11,1803,24,104.4,1
2022-03-11,1804,15,88.8,1
2022-03-11,1805,79,441.61,1
2022-03-12,445,15,77.25,1
2022-03-12,446,30,125.1,1
2022-03-12,447,69,405.03,1
2022-03-12,448,82,333.74,1
2022-03-12,449,88,449.68,1
2022-03-12,895,136,603.84,1
2022-03-12,896,35,205.1,1
2022-03-12,897,87,501.12,1
2022-03-12,898,9,37.98,1
2022-03-12,899,64,361.6,1
2022-03-12,1345,78,366.6,1
2022-03-12,1346,7,40.95,1
2022-03-12,1347,6,26.46,1
2022-03-12,1348,28,118.44,1
2022-03-12,1349,12,57.24,1
2022-03-12,1801,70,385.7,1
2022-03-12,1802,39,198.12,1
2022-03-12,1803,30,130.5,1
2022-03-12,1804,61,361.12,1
2022-03-12,1805,76,424.84,1
2022-03-13,445,16,82.4,1
2022-03-13,446,25,104.25,1
2022-03-13,447,84,493.08,1
2022-03-13,448,64,260.48,1
2022-03-13,449,117,597.87,1
2022-03-13,895,103,457.32,1
2022-03-13,896,21,123.06,1
2022-03-13,897,115,662.4,1
2022-03-13,898,7,29.54,1
2022-03-13,899,74,418.1,1
2022-03-13,1345,86,404.2,1
2022-03-13,1346,9,52.65,1
2022-03-13,1347,9,39.69,1
2022-03-13,1348,30,126.9,1
2022-03-13,1349,8,38.16,1
2022-03-13,1801,91,501.41,1
2022-03-13,1802,34,172.72,1
2022-03-13,1803,43,187.05,1
2022-03-13,1804,70,414.4,1
2022-03-13,1805,79,441.61,1
2022-03-14,445,18,92.7,1
2022-03-14,446,46,191.82,1
2022-03-14,447,69,405.03,1
2022-03-14,448,81,329.67,1
2022-03-14,449,82,419.02,1
2022-03-14,895,62,275.28,1
2022-03-14,896,53,310.58,1
2022-03-14,897,51,293.76,1
2022-03-14,898,33,139.26,1
2022-03-14,899,72,406.8,1
2022-03-14,1345,37,173.9,1
2022-03-14,1346,12,70.2,1
2022-03-14,1347,26,114.66,1
2022-03-14,1348,14,59.22,1
2022-03-14,1349,14,66.78,1
2022-03-14,1801,127,699.77,1
2022-03-14,1802,35,177.8,1
2022-03-14,1803,22,95.7,1
2022-03-14,1804,23,136.16,1
2022-03-14,1805,81,452.79,1
2022-03-15,445,17,87.55,1
2022-03-15,446,49,204.33,1
2022-03-15,447,63,369.81,1
2022-03-15,448,79,321.53,1
2022-03-15,449,83,424.13,1
2022-03-15,895,74,328.56,1
2022-03-15,896,47,275.42,1
2022-03-15,897,46,264.96,1
2022-03-15,898,36,151.92,1
2022-03-15,899,79,446.35,1
2022-03-15,1345,35,164.5,1
2022-03-15,1346,14,81.9,1
2022-03-15,1347,27,119.07,1
2022-03-15,1348,19,80.37,1
2022-03-15,1349,14,66.78,1
2022-03-15,1801,127,699.77,1
2022-03-15,1802,41,208.28,1
2022-03-15,1803,18,78.3,1
2022-03-15,1804,12,71.04,1
2022-03-15,1805,79,441.61,1
2022-03-16,445,15,77.25,1
2022-03-16,446,45,187.65,1
2022-03-16,447,64,375.68,1
2022-03-16,448,95,386.65,1
2022-03-16,449,88,449.68,1
2022-03-16,895,71,315.24,1
2022-03-16,896,42,246.12,1
2022-03-16,897,36,207.36,1
2022-03-16,898,36,151.92,1
2022-03-16,899,87,491.55,1
2022-03-16,1345,34,159.8,1
2022-03-16,1346,15,87.75,1
2022-03-16,1347,23,101.43,1
2022-03-16,1348,18,76.14,1
2022-03-16,1349,12,57.24,1
2022-03-16,1801,123,677.73,1
2022-03-16,1802,42,213.36,1
2022-03-16,1803,25,108.75,1
2022-03-16,1804,17,100.64,1
2022-03-16,1805,84,469.56,1
2022-03-17,445,16,82.4,1
2022-03-17,446,50,208.5,1
2022-03-17,447,72,422.64,1
2022-03-17,448,82,333.74,1
2022-03-17,449,88,449.68,1
2022-03-17,895,65,288.6,1
2022-03-17,896,48,281.28,1
2022-03-17,897,49,282.24,1
2022-03-17,898,31,130.82,1
2022-03-17,899,87,491.55,1
2022-03-17,1345,38,178.6,1
2022-03-17,1346,14,81.9,1
2022-03-17,1347,26,114.66,1
2022-03-17,1348,13,54.99,1
2022-03-17,1349,15,71.55,1
2022-03-17,1801,116,639.16,1
2022-03-17,1802,38,193.04,1
2022-03-17,1803,22,95.7,1
2022-03-17,1804,18,106.56,1
2022-03-17,1805,92,514.28,1
2022-03-18,445,18,92.7,1
2022-03-18,446,43,179.31,1
2022-03-18,447,65,381.55,1
2022-03-18,448,81,329.67,1
2022-03-18,449,79,403.69,1
2022-03-18,895,73,324.12,1
2022-03-18,896,48,281.28,1
2022-03-18,897,40,230.4,1
2022-03-18,898,37,156.14,1
2022-03-18,899,71,401.15,1
2022-03-18,1345,41,192.7,1
2022-03-18,1346,14,81.9,1
2022-03-18,1347,28,123.48,1
2022-03-18,1348,13,54.99,1
2022-03-18,1349,12,57.24,1
2022-03-18,1801,125,688.75,1
2022-03-18,1802,43,218.44,1
2022-03-18,1803,20,87,1
2022-03-18,1804,15,88.8,1
2022-03-18,1805,84,469.56,1
2022-03-19,445,18,92.7,1
2022-03-19,446,41,170.97,1
2022-03-19,447,81,475.47,1
2022-03-19,448,89,362.23,1
2022-03-19,449,87,444.57,1
2022-03-19,895,121,537.24,1
2022-03-19,896,36,210.96,1
2022-03-19,897,99,570.24,1
2022-03-19,898,18,75.96,1
2022-03-19,899,61,344.65,1
2022-03-19,1345,86,404.2,1
2022-03-19,1346,7,40.95,1
2022-03-19,1347,4,17.64,1
2022-03-19,1348,25,105.75,1
2022-03-19,1349,5,23.85,1
2022-03-19,1801,72,396.72,1
2022-03-19,1802,33,167.64,1
2022-03-19,1803,33,143.55,1
2022-03-19,1804,60,355.2,1
2022-03-19,1805,91,508.69,1
2022-03-20,445,13,66.95,1
2022-03-20,446,38,158.46,1
2022-03-20,447,84,493.08,1
2022-03-20,448,74,301.18,1
2022-03-20,449,105,536.55,1
2022-03-20,895,113,501.72,1
2022-03-20,896,39,228.54,1
2022-03-20,897,86,495.36,1
2022-03-20,898,12,50.64,1
2022-03-20,899,62,350.3,1
2022-03-20,1345,105,493.5,1
2022-03-20,1346,12,70.2,1
2022-03-20,1347,10,44.1,1
2022-03-20,1348,27,114.21,1
2022-03-20,1349,6,28.62,1
2022-03-20,1801,82,451.82,1
2022-03-20,1802,26,132.08,1
2022-03-20,1803,36,156.6,1
2022-03-20,1804,60,355.2,1
2022-03-20,1805,96,536.64,1
2022-03-21,445,21,108.15,1
2022-03-21,446,38,158.46,1
2022-03-21,447,70,410.9,1
2022-03-21,448,82,333.74,1
2022-03-21,449,89,454.79,1
2022-03-21,895,58,257.52,1
2022-03-21,896,51,298.86,1
2022-03-21,897,46,264.96,1
2022-03-21,898,33,139.26,1
2022-03-21,899,79,446.35,1
2022-03-21,1345,41,192.7,1
2022-03-21,1346,12,70.2,1
2022-03-21,1347,26,114.66,1
2022-03-21,1348,13,54.99,1
2022-03-21,1349,13,62.01,1
2022-03-21,1801,115,633.65,1
2022-03-21,1802,39,198.12,1
2022-03-21,1803,19,82.65,1
2022-03-21,1804,28,165.76,1
2022-03-21,1805,85,475.15,1
2022-03-22,445,16,82.4,1
2022-03-22,446,40,166.8,1
2022-03-22,447,66,387.42,1
2022-03-22,448,80,325.6,1
2022-03-22,449,86,439.46,1
2022-03-22,895,70,310.8,1
2022-03-22,896,52,304.72,1
2022-03-22,897,56,322.56,1
2022-03-22,898,33,139.26,1
2022-03-22,899,78,440.7,1
2022-03-22,1345,39,183.3,1
2022-03-22,1346,14,81.9,1
2022-03-22,1347,26,114.66,1
2022-03-22,1348,18,76.14,1
2022-03-22,1349,14,66.78,1
2022-03-22,1801,124,683.24,1
2022-03-22,1802,40,203.2,1
2022-03-22,1803,23,100.05,1
2022-03-22,1804,20,118.4,1
2022-03-22,1805,77,430.43,1
2022-03-23,445,16,82.4,1
2022-03-23,446,46,191.82,1
2022-03-23,447,67,393.29,1
2022-03-23,448,86,350.02,1
2022-03-23,449,81,413.91,1
2022-03-23,895,76,337.44,1
2022-03-23,896,46,269.56,1
2022-03-23,897,48,276.48,1
2022-03-23,898,34,143.48,1
2022-03-23,899,75,423.75,1
2022-03-23,1345,41,192.7,1
2022-03-23,1346,13,76.05,1
2022-03-23,1347,26,114.66,1
2022-03-23,1348,19,80.37,1
2022-03-23,1349,13,62.01,1
2022-03-23,1801,120,661.2,1
2022-03-23,1802,35,177.8,1
2022-03-23,1803,28,121.8,1
2022-03-23,1804,19,112.48,1
2022-03-23,1805,83,463.97,1
2022-03-24,445,18,92.7,1
2022-03-24,446,42,175.14,1
2022-03-24,447,70,410.9,1
2022-03-24,448,83,337.81,1
2022-03-24,449,85,434.35,1
2022-03-24,895,74,328.56,1
2022-03-24,896,50,293,1
2022-03-24,897,41,236.16,1
2022-03-24,898,32,135.04,1
2022-03-24,899,80,452,1
2022-03-24,1345,41,192.7,1
2022-03-24,1346,13,76.05,1
2022-03-24,1347,27,119.07,1
2022-03-24,1348,13,54.99,1
2022-03-24,1349,15,71.55,1
2022-03-24,1801,124,683.24,1
2022-03-24,1802,42,213.36,1
2022-03-24,1803,25,108.75,1
2022-03-24,1804,15,88.8,1
2022-03-24,1805,86,480.74,1
2022-03-25,445,19,97.85,1
2022-03-25,446,45,187.65,1
2022-03-25,447,65,381.55,1
2022-03-25,448,82,333.74,1
2022-03-25,449,85,434.35,1
2022-03-25,895,71,315.24,1
2022-03-25,896,47,275.42,1
2022-03-25,897,50,288,1
2022-03-25,898,38,160.36,1
2022-03-25,899,72,406.8,1
2022-03-25,1345,31,145.7,1
2022-03-25,1346,13,76.05,1
2022-03-25,1347,28,123.48,1
2022-03-25,1348,13,54.99,1
2022-03-25,1349,14,66.78,1
2022-03-25,1801,118,650.18,1
2022-03-25,1802,44,223.52,1
2022-03-25,1803,27,117.45,1
2022-03-25,1804,21,124.32,1
2022-03-25,1805,81,452.79,1
2022-03-26,445,20,103,1
2022-03-26,446,36,150.12,1
2022-03-26,447,73,428.51,1
2022-03-26,448,69,280.83,1
2022-03-26,449,112,572.32,1
2022-03-26,895,103,457.32,1
2022-03-26,896,37,216.82,1
2022-03-26,897,111,639.36,1
2022-03-26,898,12,50.64,1
2022-03-26,899,63,355.95,1
2022-03-26,1345,95,446.5,1
2022-03-26,1346,7,40.95,1
2022-03-26,1347,10,44.1,1
2022-03-26,1348,31,131.13,1
2022-03-26,1349,4,19.08,1
2022-03-26,1801,76,418.76,1
2022-03-26,1802,35,177.8,1
2022-03-26,1803,42,182.7,1
2022-03-26,1804,68,402.56,1
2022-03-26,1805,73,408.07,1
2022-03-27,445,20,103,1
2022-03-27,446,36,150.12,1
2022-03-27,447,90,528.3,1
2022-03-27,448,62,252.34,1
2022-03-27,449,106,541.66,1
2022-03-27,895,82,364.08,1
2022-03-27,896,30,175.8,1
2022-03-27,897,114,656.64,1
2022-03-27,898,13,54.86,1
2022-03-27,899,57,322.05,1
2022-03-27,1345,89,418.3,1
2022-03-27,1346,15,87.75,1
2022-03-27,1347,11,48.51,1
2022-03-27,1348,26,109.98,1
2022-03-27,1349,6,28.62,1
2022-03-27,1801,81,446.31,1
2022-03-27,1802,28,142.24,1
2022-03-27,1803,34,147.9,1
2022-03-27,1804,72,426.24,1
2022-03-27,1805,90,503.1,1
2022-03-28,445,17,87.55,1
2022-03-28,446,43,179.31,1
2022-03-28,447,78,457.86,1
2022-03-28,448,77,313.39,1
2022-03-28,449,92,470.12,1
2022-03-28,895,63,279.72,1
2022-03-28,896,52,304.72,1
2022-03-28,897,50,288,1
2022-03-28,898,37,156.14,1
2022-03-28,899,62,350.3,1
2022-03-28,1345,41,192.7,1
2022-03-28,1346,14,81.9,1
2022-03-28,1347,27,119.07,1
2022-03-28,1348,16,67.68,1
2022-03-28,1349,15,71.55,1
2022-03-28,1801,121,666.71,1
2022-03-28,1802,34,172.72,1
2022-03-28,1803,22,95.7,1
2022-03-28,1804,13,76.96,1
2022-03-28,1805,93,519.87,1
2022-03-29,445,18,92.7,1
2022-03-29,446,42,175.14,1
2022-03-29,447,70,410.9,1
2022-03-29,448,83,337.81,1
2022-03-29,449,86,439.46,1
2022-03-29,895,63,279.72,1
2022-03-29,896,48,281.28,1
2022-03-29,897,47,270.72,1
2022-03-29,898,38,160.36,1
2022-03-29,899,72,406.8,1
2022-03-29,1345,49,230.3,1
2022-03-29,1346,14,81.9,1
2022-03-29,1347,26,114.66,1
2022-03-29,1348,17,71.91,1
2022-03-29,1349,12,57.24,1
2022-03-29,1801,127,699.77,1
2022-03-29,1802,44,223.52,1
2022-03-29,1803,19,82.65,1
2022-03-29,1804,17,100.64,1
2022-03-29,1805,89,497.51,1
2022-03-30,445,16,82.4,1
2022-03-30,446,40,166.8,1
2022-03-30,447,68,399.16,1
2022-03-30,448,99,402.93,1
2022-03-30,449,88,449.68,1
2022-03-30,895,69,306.36,1
2022-03-30,896,51,298.86,1
2022-03-30,897,43,247.68,1
2022-03-30,898,36,151.92,1
2022-03-30,899,80,452,1
2022-03-30,1345,38,178.6,1
2022-03-30,1346,16,93.6,1
2022-03-30,1347,27,119.07,1
2022-03-30,1348,20,84.6,1
2022-03-30,1349,13,62.01,1
2022-03-30,1801,113,622.63,1
2022-03-30,1802,40,203.2,1
2022-03-30,1803,23,100.05,1
2022-03-30,1804,18,106.56,1
2022-03-30,1805,77,430.43,1
2022-03-31,445,20,103,1
2022-03-31,446,41,170.97,1
2022-03-31,447,73,428.51,1
2022-03-31,448,88,358.16,1
2022-03-31,449,81,413.91,1
2022-03-31,895,74,328.56,1
2022-03-31,896,44,257.84,1
2022-03-31,897,50,288,1
2022-03-31,898,32,135.04,1
2022-03-31,899,82,463.3,1
2022-03-31,1345,40,188,1
2022-03-31,1346,15,87.75,1
2022-03-31,1347,26,114.66,1
2022-03-31,1348,14,59.22,1
2022-03-31,1349,14,66.78,1
2022-03-31,1801,123,677.73,1
2022-03-31,1802,44,223.52,1
2022-03-31,1803,25,108.75,1
2022-03-31,1804,15,88.8,1
2022-03-31,1805,82,458.38,1
2022-04-01,445,20,103,2
2022-04-01,446,42,175.14,2
2022-04-01,447,72,422.64,2
2022-04-01,448,90,366.3,2
2022-04-01,449,91,465.01,2
2022-04-01,895,77,341.88,2
2022-04-01,896,50,293,2
2022-04-01,897,44,253.44,2
2022-04-01,898,36,151.92,2
2022-04-01,899,76,429.4,2
2022-04-01,1345,34,159.8,2
2022-04-01,1346,18,105.3,2
2022-04-01,1347,25,110.25,2
2022-04-01,1348,16,67.68,2
2022-04-01,1349,13,62.01,2
2022-04-01,1801,125,688.75,2
2022-04-01,1802,41,208.28,2
2022-04-01,1803,28,121.8,2
2022-04-01,1804,18,106.56,2
2022-04-01,1805,88,491.92,2
2022-04-02,445,16,82.4,2
2022-04-02,446,37,154.29,2
2022-04-02,447,77,451.99,2
2022-04-02,448,65,264.55,2
2022-04-02,449,91,465.01,2
2022-04-02,895,108,479.52,2
2022-04-02,896,39,228.54,2
2022-04-02,897,108,622.08,2
2022-04-02,898,7,29.54,2
2022-04-02,899,60,339,2
2022-04-02,1345,91,427.7,2
2022-04-02,1346,8,46.8,2
2022-04-02,1347,7,30.87,2
2022-04-02,1348,38,160.74,2
2022-04-02,1349,6,28.62,2
2022-04-02,1801,78,429.78,2
2022-04-02,1802,23,116.84,2
2022-04-02,1803,39,169.65,2
2022-04-02,1804,67,396.64,2
2022-04-02,1805,79,441.61,2
2022-04-03,445,18,92.7,2
2022-04-03,446,41,170.97,2
2022-04-03,447,77,451.99,2
2022-04-03,448,67,272.69,2
2022-04-03,449,116,592.76,2
2022-04-03,895,96,426.24,2
2022-04-03,896,40,234.4,2
2022-04-03,897,116,668.16,2
2022-04-03,898,6,25.32,2
2022-04-03,899,56,316.4,2
2022-04-03,1345,107,502.9,2
2022-04-03,1346,6,35.1,2
2022-04-03,1347,8,35.28,2
2022-04-03,1348,38,160.74,2
2022-04-03,1349,4,19.08,2
2022-04-03,1801,73,402.23,2
2022-04-03,1802,25,127,2
2022-04-03,1803,37,160.95,2
2022-04-03,1804,71,420.32,2
2022-04-03,1805,91,508.69,2
2022-04-04,445,19,97.85,2
2022-04-04,446,50,208.5,2
2022-04-04,447,76,446.12,2
2022-04-04,448,81,329.67,2
2022-04-04,449,81,413.91,2
2022-04-04,895,64,284.16,2
2022-04-04,896,52,304.72,2
2022-04-04,897,45,259.2,2
2022-04-04,898,35,147.7,2
2022-04-04,899,66,372.9,2
2022-04-04,1345,38,178.6,2
2022-04-04,1346,16,93.6,2
2022-04-04,1347,26,114.66,2
2022-04-04,1348,13,54.99,2
2022-04-04,1349,15,71.55,2
2022-04-04,1801,120,661.2,2
2022-04-04,1802,37,187.96,2
2022-04-04,1803,23,100.05,2
2022-04-04,1804,18,106.56,2
2022-04-04,1805,91,508.69,2
2022-04-05,445,21,108.15,2
2022-04-05,446,37,154.29,2
2022-04-05,447,68,399.16,2
2022-04-05,448,82,333.74,2
2022-04-05,449,83,424.13,2
2022-04-05,895,73,324.12,2
2022-04-05,896,49,287.14,2
2022-04-05,897,62,357.12,2
2022-04-05,898,36,151.92,2
2022-04-05,899,78,440.7,2
2022-04-05,1345,46,216.2,2
2022-04-05,1346,19,111.15,2
2022-04-05,1347,28,123.48,2
2022-04-05,1348,15,63.45,2
2022-04-05,1349,14,66.78,2
2022-04-05,1801,122,672.22,2
2022-04-05,1802,40,203.2,2
2022-04-05,1803,22,95.7,2
2022-04-05,1804,16,94.72,2
2022-04-05,1805,85,475.15,2
2022-04-06,445,19,97.85,2
2022-04-06,446,47,195.99,2
2022-04-06,447,68,399.16,2
2022-04-06,448,89,362.23,2
2022-04-06,449,81,413.91,2
2022-04-06,895,66,293.04,2
2022-04-06,896,51,298.86,2
2022-04-06,897,49,282.24,2
2022-04-06,898,36,151.92,2
2022-04-06,899,73,412.45,2
2022-04-06,1345,49,230.3,2
2022-04-06,1346,13,76.05,2
2022-04-06,1347,24,105.84,2
2022-04-06,1348,20,84.6,2
2022-04-06,1349,13,62.01,2
2022-04-06,1801,113,622.63,2
2022-04-06,1802,39,198.12,2
2022-04-06,1803,30,130.5,2
2022-04-06,1804,23,136.16,2
2022-04-06,1805,91,508.69,2
2022-04-07,445,19,97.85,2
2022-04-07,446,50,208.5,2
2022-04-07,447,72,422.64,2
2022-04-07,448,88,358.16,2
2022-04-07,449,87,444.57,2
2022-04-07,895,68,301.92,2
2022-04-07,896,48,281.28,2
2022-04-07,897,50,288,2
2022-04-07,898,32,135.04,2
2022-04-07,899,74,418.1,2
2022-04-07,1345,36,169.2,2
2022-04-07,1346,14,81.9,2
2022-04-07,1347,27,119.07,2
2022-04-07,1348,16,67.68,2
2022-04-07,1349,13,62.01,2
2022-04-07,1801,130,716.3,2
2022-04-07,1802,39,198.12,2
2022-04-07,1803,24,104.4,2
2022-04-07,1804,20,118.4,2
2022-04-07,1805,84,469.56,2
2022-04-08,445,17,87.55,2
2022-04-08,446,42,175.14,2
2022-04-08,447,66,387.42,2
2022-04-08,448,75,305.25,2
2022-04-08,449,83,424.13,2
2022-04-08,895,64,284.16,2
2022-04-08,896,54,316.44,2
2022-04-08,897,51,293.76,2
2022-04-08,898,39,164.58,2
2022-04-08,899,74,418.1,2
2022-04-08,1345,41,192.7,2
2022-04-08,1346,16,93.6,2
2022-04-08,1347,28,123.48,2
2022-04-08,1348,19,80.37,2
2022-04-08,1349,13,62.01,2
2022-04-08,1801,124,683.24,2
2022-04-08,1802,39,198.12,2
2022-04-08,1803,20,87,2
2022-04-08,1804,14,82.88,2
2022-04-08,1805,84,469.56,2
2022-04-09,445,17,87.55,2
2022-04-09,446,36,150.12,2
2022-04-09,447,93,545.91,2
2022-04-09,448,61,248.27,2
2022-04-09,449,106,541.66,2
2022-04-09,895,99,439.56,2
2022-04-09,896,35,205.1,2
2022-04-09,897,107,616.32,2
2022-04-09,898,11,46.42,2
2022-04-09,899,53,299.45,2
2022-04-09,1345,97,455.9,2
2022-04-09,1346,7,40.95,2
2022-04-09,1347,6,26.46,2
2022-04-09,1348,37,156.51,2
2022-04-09,1349,6,28.62,2
2022-04-09,1801,80,440.8,2
2022-04-09,1802,32,162.56,2
2022-04-09,1803,33,143.55,2
2022-04-09,1804,75,444,2
2022-04-09,1805,90,503.1,2
